sensor_msgs/JointState,/joint_target
timestamp,front_left_hip,front_left_thigh,front_left_calf,front_right_hip,front_right_thigh,front_right_calf,rear_left_hip,rear_left_thigh,rear_left_calf,rear_right_hip,rear_right_thigh,rear_right_calf
5.652347,0.012432,0.000000,0.000000,0.012432,0.000000,0.000000,0.012432,0.000000,0.000000,0.012432,0.000000,0.000000
5.702988,0.003887,0.000000,0.000000,0.003887,0.000000,0.000000,0.003887,0.000000,0.000000,0.003887,0.000000,0.000000
5.756013,0.000137,0.000000,0.000000,0.000137,0.000000,0.000000,0.000137,0.000000,0.000000,0.000137,0.000000,0.000000
5.807482,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000
5.861562,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000
5.914131,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000
5.966223,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000
6.019252,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000
6.070470,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000
6.124372,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000
6.178263,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000
6.229303,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000
6.280434,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000
6.333864,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000
